temperatura,epsilon,M,m,CH,chi
0.05,-2.0,-2500.0,1.0,0.0,0.0
0.1,-2.0,-2500.0,1.0,0.0,0.0
0.15,-2.0,-2500.0,1.0,0.0,0.0
0.2,-2.0,-2500.0,1.0,0.0,0.0
0.25,-2.0,-2500.0,1.0,0.0,0.0
0.3,-1.999984,-2499.99,0.9999959999999999,3.546644388749651,0.06649958228905593
0.35,-1.999912,-2499.945,0.999978,14.007263055598193,0.3064088793412099
0.4,-1.999656,-2499.78,0.9999120000000001,43.987468671679174,1.1819548872180443
0.45,-1.9989080000000001,-2499.31,0.999724,111.02868281815664,3.2612642717905893
0.5,-1.996984,-2498.065,0.9992260000000001,248.73543859649115,8.512832080200495
0.55,-1.993736,-2495.975,0.99839,459.3447254499882,17.26019594440648
0.6,-1.9884,-2492.435,0.996974,654.4138123085492,29.341311612364265
0.65,-1.979532,-2486.4,0.99456,1133.2262015986707,58.05282436861384
0.7,-1.967828,-2478.32,0.9913280000000001,1276.6919339164235,74.1820264948085
0.75,-1.9524560000000002,-2467.17,0.9868680000000001,1711.4794096351998,123.65727652464501
0.8,-1.9283400000000002,-2448.935,0.979574,2481.2617481203,197.7140037593985
0.85,-1.898216,-2424.74,0.9698959999999999,3317.065535811848,349.90110570544016
0.9,-1.860312,-2392.55,0.9570200000000001,4913.854512825273,663.1439710387077
0.95,-1.808,-2344.23,0.937692,5423.686640423774,954.8155652288616
1.0,-1.745512,-2277.815,0.911126,7273.254736842108,2013.4293483709275
1.05,-1.6637279999999999,-2175.895,0.870358,8994.256707528459,3796.786227473446
1.1,-1.556504,-2012.345,0.804938,9706.922181486774,7663.568899521532
1.15,-1.4275360000000001,-1763.11,0.705244,13621.239791349824,17706.237681159422
1.2,-1.282248,-1391.29,0.556516,12992.102199944302,36232.32740183793
1.25,-1.150292,-980.845,0.392338,10201.379993984963,46282.31055639096
1.3,-1.048816,-585.155,0.234062,7627.7785588230945,44238.00730672837
1.35,-0.9691280000000001,-301.825,0.12072999999999999,5799.193511900464,43021.434605031085
1.4,-0.9093680000000001,-139.475,0.05579,4709.643291903226,31226.80585392052
1.45,-0.864028,-44.595,0.017838,3932.4161056624926,22936.41412151067
1.5,-0.817028,-11.78,0.004712,3676.9947535505416,18304.68945697577
1.55,-0.776172,-6.38,0.002552,3618.559447526203,17287.87491308917
