temperatura,epsilon,M,m,CH,xi
0.0,-2.0,-2500.0,1.0,NaN,NaN
0.1,-2.0,-2500.0,1.0,0.0,0.0
0.2,-2.0,-2500.0,1.0,0.0,0.0
0.3,-2.0,-2500.0,1.0,0.0,0.0
0.4,-1.99968,-2499.8,0.99992,37.24137931034481,0.9310344827586208
0.5,-1.9975466666666668,-2498.4666666666667,0.9993866666666666,153.30574712643684,4.790804597701151
0.6,-1.9908266666666667,-2494.133333333333,0.9976533333333333,474.8914431673052,19.739463601532563
0.7,-1.9693866666666664,-2479.6,0.9918399999999999,904.677457189773,47.054187192118235
0.8,-1.9278400000000002,-2449.0,0.9796,2364.3965517241354,185.4310344827586
0.9,-1.8566933333333335,-2389.266666666667,0.9557066666666667,4179.049240811694,655.4738186462323
1.0,-1.7445333333333333,-2279.866666666667,0.9119466666666667,8637.057471264368,2345.6367816091956
1.1,-1.5496533333333333,-2004.4666666666667,0.8017866666666666,15952.335898166617,9357.161964472309
1.2,-1.2586666666666666,-1219.7333333333333,0.48789333333333335,21343.550446998725,75992.122605364
1.3,-1.0401066666666667,-442.4,0.17695999999999998,7086.183772019314,34389.89920424402
1.4,-0.91264,-68.73333333333333,0.027493333333333335,4674.229415904294,31955.95730706076
1.5,-0.8140266666666667,32.733333333333334,0.013093333333333334,4356.258492975734,14503.077394636013
1.6,-0.7411733333333334,-21.4,0.00856,2420.984195402298,9004.163793103446
1.7,-0.68352,4.666666666666667,0.0018666666666666669,2245.2308793700035,14515.429344151455
1.8,-0.63856,2.6666666666666665,0.0010666666666666665,3484.154959557259,6031.468710089401
1.9,-0.6040533333333333,-24.266666666666666,0.009706666666666666,1997.4349667271626,5291.286146400484
2.0,-0.5605333333333333,1.1333333333333333,0.0004533333333333333,1779.4022988505749,5352.645977011493
2.1,-0.5202666666666667,-3.466666666666667,0.0013866666666666667,1194.2971824745223,5338.053639846743
2.2,-0.4989333333333333,-0.4666666666666667,0.00018666666666666666,1053.3105348152371,4280.085684430511
2.3,-0.4748266666666666,3.3333333333333335,0.0013333333333333333,1327.4093388088565,4439.140429785107
2.4,-0.4422933333333333,10.266666666666667,0.004106666666666667,1821.969987228608,1912.2681992337175
2.5,-0.4309866666666667,18.533333333333335,0.007413333333333334,1022.6729195402299,2162.3098850574715
2.6,-0.4032,6.333333333333333,0.002533333333333333,995.8783921648642,1793.9610963748896
2.7,-0.3956266666666667,13.933333333333334,0.005573333333333334,1065.8997524557335,2576.907620263942
2.8,-0.3848533333333333,14.0,0.0056,702.1440300258037,1663.0541871921182
2.9,-0.35690666666666665,-7.133333333333334,0.0028533333333333336,653.9254035289135,2544.0840269520413
3.0,-0.3572266666666667,-2.4,0.0009599999999999999,552.9420178799489,1901.6459770114943
