temperatura,epsilon,M,m,CH,chi
0.05,-2.0,-400.0,1.0,0.0,0.0
0.1,-2.0,-400.0,1.0,0.0,0.0
0.15,-2.0,-400.0,1.0,0.0,0.0
0.2,-2.0,-400.0,1.0,0.0,0.0
0.25,-2.0,-400.0,1.0,0.0,0.0
0.3,-2.0,-400.0,1.0,0.0,0.0
0.35,-2.0,-400.0,1.0,0.0,0.0
0.4,-1.99935,-399.935,0.9998375,14.614035087719289,0.36535087719298226
0.45,-1.99915,-399.915,0.9997875,12.89346823849748,0.3626287942077413
0.5,-1.997225,-399.72,0.9993000000000001,32.432681704260666,1.0458145363408524
0.55,-1.993975,-399.39,0.998475,59.09617017750993,2.128776486671222
0.6,-1.9897,-398.925,0.9973125,107.33945976051233,4.56871345029239
0.65,-1.9787000000000001,-397.735,0.9943375,172.2877608221738,8.636630036630034
0.7,-1.968125,-396.545,0.9913625,221.20096158764264,12.993877551020406
0.75,-1.951875,-394.78,0.9869499999999999,320.44110275689223,20.867635756056817
0.8,-1.92955,-391.94,0.97985,371.2525062656642,32.07568922305764
0.85,-1.896125,-387.745,0.9693625,558.2919235805779,63.52938227922752
0.9,-1.862275,-383.01,0.957525,709.3436059284012,88.95561125034808
0.95,-1.812325,-375.725,0.9393125000000001,889.7757968328025,146.95092995647013
1.0,-1.735575,-362.63,0.906575,1206.3229072681704,296.9254135338347
1.05,-1.65985,-347.375,0.8684375,1587.7847907751234,642.1380833034967
1.1,-1.56135,-322.76,0.8069,1831.3787775223173,1390.1685121895648
1.15,-1.424175,-277.915,0.6947875,2593.4409558868824,3899.716922741636
1.2,-1.26725,-206.87,0.517175,2345.913394597606,7356.209774436088
1.25,-1.1396,-129.38,0.32345,1604.2502416040106,9895.358877192984
1.3,-1.041725,-64.805,0.1620125,1225.480209399238,9591.349122807018
1.35,-0.963275,-20.925,0.052312500000000005,1007.6900894210836,6589.001670843777
1.4,-0.910225,-8.31,0.020775000000000002,845.8042555368012,5077.582456140351
1.45,-0.863225,-1.595,0.0039875,741.9146677633443,4551.769751966123
1.5,-0.816675,-1.885,0.0047125,689.8807463102199,3149.404695071011
1.55,-0.7802500000000001,-1.845,0.0046125,561.7832301878523,2444.4763360012935
1.6,-0.742375,-2.015,0.0050375,504.8000861528821,2157.6878289473684
1.65,-0.7098,-0.185,0.0004625,463.02481640280695,1816.1377838535743
1.7,-0.6944,-7.39,0.018475,443.10860195471383,1718.6778121775023
1.75,-0.6601,0.225,0.0005625000000000001,423.69381412715467,1611.605800214823
1.8,-0.6299,1.345,0.0033625,344.0695566075683,1224.495112781955
1.85,-0.616525,0.05,0.000125,358.42063888721054,1169.5278737383996
1.9,-0.5901,0.8,0.002,309.11583668312056,1015.665479488194
1.95,-0.57605,-2.21,0.0055249999999999995,263.85057976960815,895.642130968447
2.0,-0.5574,3.155,0.007887499999999999,300.2803007518797,902.7949749373432
2.05,-0.539,5.435,0.013587499999999999,269.06528665506715,800.6605660492695
2.1,-0.519,-1.755,0.0043875,258.6966281917946,720.415312089748
2.15,-0.506175,-3.845,0.009612500000000001,215.23123113353967,614.0868333624762
2.2,-0.4927,-0.57,0.0014249999999999998,190.94711986578014,671.4491228070176
2.25,-0.49097499999999994,0.915,0.0022875,227.26404158544503,614.1722194374827
2.3,-0.46835,3.125,0.0078125,188.82070961903824,583.3123569794051
2.35,-0.461325,0.755,0.0018875,155.5938919276462,560.1492987788621
2.4,-0.452075,-0.77,0.001925,165.27274784182677,556.4941938178781
2.45,-0.438825,-0.84,0.0021,153.58330854207566,477.665347041072
2.5,-0.43085,1.175,0.0029375,154.85183358395994,390.4759398496242
2.55,-0.415925,-1.305,0.0032624999999999998,160.5032342486358,429.0832866479926
2.6,-0.413775,-1.3,0.0032500000000000003,126.45814239741368,441.4459224985542
2.65,-0.401425,3.215,0.0080375,133.7733939690808,388.0924102709605
2.7,-0.393575,-0.135,0.0003375,133.4688023213039,411.05421888053456
2.75,-0.379925,-0.945,0.0023625,110.18078750595497,388.9640373661426
2.8,-0.38015,1.065,0.0026625,117.6201217329037,303.79368958109563
2.85,-0.372125,-1.985,0.0049625,113.13941980219863,385.50051444400475
2.9,-0.364525,-0.095,0.0002375,105.85845112185936,324.8676778152278
2.95,-0.35509999999999997,-2.18,0.00545,108.58958945770054,320.28804213924644
3.0,-0.35200000000000004,0.61,0.0015249999999999999,102.69228627123361,288.1830910609857
3.05,-0.3461,0.445,0.0011125,89.7019652059469,298.842836599696
3.1,-0.33917499999999995,-0.4,0.001,103.1935822907946,289.21982375293067
