temperatura,epsilon,M,m,CH,chi
3.7,-0.27950625,-1.51,0.00094375,244.7474346933807,722.4818532818533
3.75,-0.2715125,-3.52,0.0022,203.73234241158448,805.0338111946531
3.8,-0.27258125,-3.815,0.0023843749999999998,212.38297266712487,725.2171943015434
3.85,-0.2659125,4.705,0.002940625,215.3272132938181,724.6149073983661
3.9,-0.2617875,2.16,0.00135,220.17307568724573,786.0405886511151
3.95,-0.25943125,0.15,9.375e-5,193.27356365597544,655.1207131753434
4.0,-0.25619375,-5.18,0.0032375,207.2476127819549,810.7086716791981
4.05,-0.2548125,-2.015,0.001259375,217.56387615892336,710.1778582258114
4.1,-0.24826250000000002,0.465,0.00029062500000000003,225.13103699164617,644.218784766795
4.15,-0.24530625,-2.92,0.001825,196.51625216328662,693.853573693269
4.2,-0.24145624999999998,0.415,0.000259375,209.3380332918464,699.7058777897121
4.25,-0.24315625000000002,0.715,0.000446875,206.4620374465576,659.1676308418106
4.3,-0.2377125,2.885,0.0018031249999999998,170.2799128703316,665.6564142915424
4.35,-0.2333625,-3.285,0.0020531250000000003,194.64783507189165,630.4770604672601
4.4,-0.22969375,-3.725,0.002328125,175.62707906128955,594.7993563454091
4.45,-0.22889375,1.43,0.00089375,174.5612408751964,614.0779138858381
4.5,-0.22665,0.745,0.000465625,172.34149076394692,617.3957059314953
4.55,-0.2238625,3.41,0.00213125,160.6706102292321,549.6448594012504
4.6,-0.2197625,-5.86,0.0036625000000000004,156.15672451449987,581.959333115397
4.65,-0.21705625,3.595,0.002246875,153.0168767971496,523.6329479613009
4.7,-0.21664999999999998,4.075,0.002546875,162.29938358798756,574.3133098704205
4.75,-0.2154375,-3.145,0.001965625,168.38772832357904,575.2442105263159
4.8,-0.21586249999999998,0.43,0.00026875,145.5242098301309,556.9705722639934
4.85,-0.20948125,-1.005,0.0006281249999999999,153.97708214632664,549.0964473038266
4.9,-0.20853124999999997,1.37,0.00085625,123.79292671495482,578.0293795713773
4.95,-0.2052125,1.6,0.001,142.5019297555183,473.920153920154
5.0,-0.20385625000000002,1.14,0.0007124999999999999,152.03011929824555,457.82464160401014
