temperatura,epsilon,M,m,CH,chi
0.05,-2.0,-10000.0,1.0,0.0,0.0
0.1,-2.0,-10000.0,1.0,0.0,0.0
0.15,-2.0,-10000.0,1.0,0.0,0.0
0.2,-2.0,-10000.0,1.0,0.0,0.0
0.25,-1.999998,-9999.995,0.9999995,2.5600000000000023,0.039999999999999994
0.3,-1.9999939999999998,-9999.985,0.9999985,5.306599832915616,0.09949874686716798
0.35,-1.999911,-9999.775,0.9999775,58.00542171755916,1.3157894736842106
0.4,-1.999636,-9999.08,0.999908,182.64661654135335,4.795989974937341
0.45,-1.998848,-9997.08,0.999708,541.0543643058265,15.89217488164858
0.5,-1.9970990000000002,-9992.57,0.999257,1088.400601503759,37.08290726817042
0.55,-1.9940259999999999,-9984.6,0.99846,1941.02578760952,74.8051948051948
0.6,-1.9885599999999999,-9970.005,0.9970005,2910.8326371484263,127.16787802840443
0.65,-1.9804650000000001,-9948.165,0.9948165000000001,3320.2473639720592,173.29905533063413
0.7,-1.968264,-9914.53,0.991453,5894.553526673832,333.71872538489083
0.75,-1.950696,-9863.875,0.9863875,7824.358050682263,531.6950710108604
0.8,-1.9277939999999998,-9794.865,0.9794864999999999,11303.252506265666,877.1952067669173
0.85,-1.8986490000000003,-9702.34,0.970234,14584.28063237679,1420.7570691434473
0.9,-1.859377,-9568.845,0.9568844999999999,17757.414647730442,2283.5042884990253
0.95,-1.809852,-9385.04,0.9385040000000001,18538.856393060214,3312.321224112916
1.0,-1.7476610000000001,-9131.745,0.9131745000000001,27282.273583959897,5912.867142857142
1.05,-1.66786,-8760.495,0.8760495,31776.457015554763,10611.982312925167
1.1,-1.574726,-8253.27,0.825327,47277.87435530977,21696.228844839363
1.15,-1.464597,-7566.915,0.7566915,50238.8668078514,35670.49168573608
1.2,-1.346379,-6703.7,0.67037,45703.19959621276,51167.2096908939
1.25,-1.224209,-5665.14,0.5665140000000001,42920.73665764411,64207.703578947374
1.3,-1.114293,-4568.99,0.456899,36307.819904791555,85249.40034702138
1.35,-1.014076,-3452.35,0.345235,30431.778981060317,85727.02682632505
1.4,-0.9383360000000001,-2576.0,0.2576,24562.339726868187,86536.08306480487
1.45,-0.8758450000000001,-1786.085,0.1786085,17423.15241134943,76476.35141301532
1.5,-0.824425,-1209.6,0.12095999999999998,17533.10275689223,67246.87719298243
1.55,-0.7842560000000001,-802.26,0.080226,14996.845453905311,54828.834926024734
1.6,-0.7456689999999999,-511.31,0.051131,13824.453281641601,52296.18038847117
1.65,-0.714228,-333.29,0.033329000000000004,12374.444504281828,43626.67632718159
1.7,-0.687014,-193.745,0.0193745,11243.520704876382,38169.15522630105
1.75,-0.659339,-119.14,0.011914,10582.756613983938,33322.36900823487
1.8,-0.636202,-81.455,0.0081455,8690.120238868774,32947.76551099972
1.85,-0.61562,-57.035,0.005703499999999999,7943.716120103034,28579.437119826594
1.9,-0.594011,-19.06,0.001906,7587.66386881331,27055.795488721807
1.95,-0.575731,-13.9,0.00139,8664.987623562523,23666.586980271186
2.0,-0.557475,1.985,0.0001985,6777.964285714285,21436.86705513785
2.05,-0.540246,-6.535,0.0006535,7245.895440564529,19989.878977932636
2.1,-0.523068,10.515,0.0010515000000000001,5929.476207525617,16930.939145482753
2.15,-0.5099090000000001,-19.735,0.0019735,5535.8410954373485,16657.448166928953
2.2,-0.49729700000000004,8.16,0.000816,5530.433335404627,16112.442196400092
2.25,-0.48285100000000003,-8.19,0.000819,5491.310478665799,14217.857488164856
2.3,-0.47174099999999997,6.055,0.0006054999999999999,5439.407952774184,12505.118001525556
2.35,-0.46154399999999995,2.04,0.000204,4866.301816106583,13226.264981602944
2.4,-0.44984700000000005,17.68,0.001768,3945.9515281258705,13665.003174603178
2.45,-0.438671,5.285,0.0005285,4035.7279537870068,12425.798690604059
2.5,-0.428154,-9.91,0.000991,4045.471823558897,12199.270937343359
2.55,-0.41863199999999995,-5.975,0.0005974999999999999,3605.8184831552153,10219.843481252157
2.6,-0.409275,10.415,0.0010414999999999999,3273.2893624594026,11473.043290919604
2.65,-0.401493,1.085,0.0001085,3269.3503213355566,10389.435012058446
2.7,-0.393529,3.535,0.00035350000000000003,3480.0878602542016,9340.653030724961
2.75,-0.38476,-3.595,0.0003595,3146.203359638768,9343.710539986332
2.8,-0.37705900000000003,-5.41,0.000541,3077.8850058820526,9098.815574650913
2.85,-0.368618,-11.915,0.0011914999999999999,2859.290744559151,9139.95260959416
2.9,-0.363347,5.91,0.000591,2597.747531730635,8303.998582663555
2.95,-0.356033,0.345,3.45e-5,2232.676330297159,7937.617255001912
3.0,-0.349487,12.245,0.0012245,2525.322539682539,7948.260643274851
3.05,-0.342147,-1.185,0.00011850000000000001,2517.08002605277,8100.738986811293
3.1,-0.337358,-0.465,4.6500000000000005e-5,2400.388442490201,6964.421950036381
3.15,-0.331474,11.775,0.0011775,2480.748851215972,7452.052154195014
3.2,-0.325443,11.985,0.0011985,2510.2497552474924,6859.38276159148
3.25,-0.32161100000000004,-4.51,0.00045099999999999996,2079.118544289719,6249.7535839598995
3.3,-0.314573,-6.565,0.0006565000000000001,2053.383882111155,6387.730166324903
3.35,-0.31062,17.78,0.001778,1828.7965402479251,5818.2206561179055
3.4,-0.305211,-5.34,0.000534,1889.2584315459942,5833.956774288665
3.45,-0.301711,5.67,0.000567,1873.791633041856,5122.542907994624
3.5,-0.294489,-7.12,0.000712,1654.7464907165875,5216.213562477623
3.55,-0.291905,2.86,0.000286,1712.0442447121568,5128.025811006388
3.6,-0.285724,-9.22,0.0009220000000000001,1672.6246480398531,5926.280033416875
3.65,-0.28171399999999996,-1.67,0.000167,1515.1062418666295,4871.046410546914
3.7,-0.278045,8.18,0.0008179999999999999,1543.4933205914713,5281.9149495360025
3.75,-0.27371799999999996,0.61,6.1e-5,1605.0228754107488,4339.881142857142
3.8,-0.271785,4.755,0.0004755,1570.289817341137,5199.329897111199
3.85,-0.265759,-0.165,1.65e-5,1595.2008136380766,4484.953363929301
3.9,-0.262048,1.2,0.00011999999999999999,1314.919751713274,4995.437311226786
3.95,-0.25977,-1.345,0.0001345,1315.9917900824805,4716.840449224326
4.0,-0.257821,-7.01,0.000701,1315.3556328320803,4758.536315789474
4.05,-0.252618,0.64,6.4e-5,1343.9828866481093,4241.168451994184
4.1,-0.24881199999999998,-1.07,0.00010700000000000001,1293.207176179592,4228.134996026653
4.15,-0.246942,11.055,0.0011055,1029.946246076797,4153.728169822145
4.2,-0.243153,3.68,0.000368,1358.6789593030194,3814.1825038787442
4.25,-0.23958600000000002,-3.69,0.00036899999999999997,1196.2906796402772,3803.184172195194
4.3,-0.23885100000000004,-6.69,0.000669,1148.846149988275,3631.787352101183
4.35,-0.23477800000000001,15.195,0.0015195,1128.4626733963992,4152.418281335524
4.4,-0.23160799999999998,0.605,6.05e-5,1265.7466807514656,3434.3458589655957
4.45,-0.22892300000000002,2.155,0.00021549999999999998,1009.9961227396227,3685.4261440117148
4.5,-0.226701,2.805,0.00028050000000000004,1131.1686574460844,3093.877354497354
4.55,-0.22258699999999998,-5.105,0.0005105,971.6833128588893,3387.4904789446155
4.6,-0.22166100000000002,1.885,0.0001885,987.4320915710828,3476.0590116595836
4.65,-0.21854400000000002,-3.125,0.0003125,924.8996650488518,3761.335462311693
4.7,-0.216387,-6.905,0.0006905,919.2933941916809,3477.299840025596
4.75,-0.21343800000000002,0.59,5.9e-5,916.2752021327553,3219.5250019786313
4.8,-0.209575,-3.89,0.000389,931.0976007727652,3205.6574561403504
4.85,-0.209382,-7.015,0.0007015,835.6488031642505,2874.501671705037
4.9,-0.20868899999999999,3.8,0.00037999999999999997,850.9373350076563,3705.4800265971057
4.95,-0.204945,-9.475,0.0009475,941.2817831743928,3439.676843624211
5.0,-0.20263399999999998,7.33,0.000733,819.8594245614034,3156.457363408522
