temperatura,epsilon,M,m,ch,chi
0.68,-1.9739520000000002,-2482.32,0.992928,906.7721206129511,50.74669867947178
0.69,-1.97328,-2482.28,0.9929120000000001,1517.43116906498,78.55900621118012
0.7,-1.9694080000000003,-2479.32,0.991728,1413.5976676384844,79.90903790087464
0.71,-1.9662400000000002,-2477.04,0.990816,1648.1990534757842,95.25495832135672
0.72,-1.962464,-2474.6,0.9898399999999999,1774.0110859158478,106.40589569160998
0.73,-1.957728,-2470.8,0.9883200000000001,1633.682469046917,102.87950796757059
0.74,-1.9578240000000002,-2471.24,0.9884959999999999,1336.6049999254633,83.15278543849973
0.75,-1.951136,-2466.08,0.986432,2326.883265306122,185.46068027210885
0.76,-1.9464,-2463.76,0.985504,2173.3845892927807,128.171858216971
0.77,-1.940608,-2458.52,0.983408,2287.355475163586,194.39385104691232
0.78,-1.932384,-2452.48,0.980992,2303.3289055267073,201.68707482993196
0.79,-1.933728,-2452.92,0.981168,2489.4911529745686,177.36192198398345
0.8,-1.9274240000000002,-2448.08,0.979232,2870.1632653061215,231.4204081632653
0.81,-1.922368,-2443.52,0.9774079999999999,2733.520587018529,295.8044847568657
0.82,-1.915872,-2439.28,0.9757120000000001,2817.652272092657,269.33997013439523
0.83,-1.916352,-2439.92,0.9759680000000001,2496.06086011121,293.2795672485862
0.84,-1.899936,-2427.44,0.9709760000000001,2818.464528668611,233.82701652089403
0.85,-1.895328,-2424.32,0.969728,3743.99774027258,329.8650660264106
0.86,-1.8918080000000002,-2419.72,0.967888,4371.598547477402,419.5557664926436
0.87,-1.889504,-2418.32,0.9673280000000001,3707.8502268921834,366.570021111893
0.88,-1.8717119999999998,-2404.12,0.961648,3327.449822904369,406.3840445269018
0.89,-1.869344,-2399.96,0.9599840000000001,2942.2052977231797,335.42581976610876
0.9,-1.859488,-2390.28,0.9561120000000001,5383.877047115142,797.8249433106577
0.91,-1.856064,-2388.68,0.955472,2649.751952465565,418.4992150706436
0.92,-1.837952,-2375.84,0.9503360000000001,4931.1677790208705,634.9316770186335
0.93,-1.83328,-2367.24,0.946896,3973.1855281134294,681.832784726794
0.94,-1.8234560000000002,-2357.12,0.9428479999999999,6301.2056429633885,1254.217976552323
0.95,-1.807968,-2341.0,0.9364,6153.964158516593,1395.1879699248118
0.96,-1.792448,-2327.92,0.931168,7125.170068027211,1444.3809523809525
0.97,-1.783584,-2320.2,0.9280799999999999,5458.124548575942,1272.164948453608
0.98,-1.769152,-2302.64,0.921056,6668.677166826747,2031.3935860058307
0.99,-1.7574720000000001,-2288.48,0.915392,5811.045520136429,1609.3275613275612
1.0,-1.7455040000000002,-2277.76,0.9111040000000001,7991.777959183673,2135.6146938775514
1.01,-1.730144,-2261.96,0.904784,10564.220794679994,2729.1962012527783
1.02,-1.7161279999999999,-2241.24,0.896496,8160.810991063094,3864.0880352140853
1.03,-1.7094080000000003,-2237.12,0.894848,6821.710484552007,2737.810184267882
1.04,-1.6778240000000002,-2191.0,0.8764,9459.461417703173,3798.7833594976446
1.05,-1.6636799999999998,-2179.36,0.8717440000000001,8555.250127261788,3622.381341107872
1.06,-1.637024,-2129.4,0.8517600000000001,11542.496785114898,5671.5055833654205
1.07,-1.631424,-2135.68,0.8542719999999999,5919.567344799741,3656.740034331489
1.08,-1.600832,-2090.44,0.836176,12486.346966770245,5922.795162509449
