temperatura,epsilon,M,m,CH,xi
0.0,-2.0,-2500.0,1.0,NaN,NaN
0.1,-2.0,-2500.0,1.0,0.0,0.0
0.2,-2.0,-2500.0,1.0,0.0,0.0
0.3,-2.0,-2500.0,1.0,0.0,0.0
0.4,-1.9998080000000003,-2499.88,0.9999520000000001,23.020408163265305,0.5755102040816327
0.5,-1.997184,-2498.24,0.999296,184.32,5.76
0.6,-1.98768,-2491.88,0.9967520000000001,584.5804988662131,28.682993197278915
0.7,-1.969216,-2478.92,0.991568,1388.1682632236573,91.71078717201165
0.8,-1.9305279999999998,-2451.4,0.98056,2152.132653061224,189.23469387755102
0.9,-1.861792,-2393.92,0.957568,3721.5540438397575,399.62993197278917
1.0,-1.743424,-2277.68,0.9110719999999999,6500.414693877552,1619.977142857143
1.1,-1.5504639999999998,-1993.52,0.797408,15987.025130713442,12333.886456400742
1.2,-1.285888,-1326.32,0.530528,15760.743764172335,46869.70884353742
1.3,-1.041888,-478.88,0.191552,5994.518536408646,53291.825431711135
1.4,-0.9040959999999999,-59.76,0.023903999999999998,7763.568513119535,19174.535276967934
1.5,-0.81376,33.56,0.013424,3777.015873015873,18084.276462585032
1.6,-0.749344,-8.72,0.003488,3136.6352040816323,16177.42448979592
1.7,-0.679808,-10.96,0.004384000000000001,2054.4628204222868,8156.373589435775
1.8,-0.633792,-1.52,0.000608,2910.887377173091,9544.087074829931
1.9,-0.594528,-0.08,3.2e-5,1777.5729549437503,4691.811815252416
2.0,-0.553088,29.96,0.011984,1403.1738775510207,5260.937959183674
2.1,-0.524864,2.48,0.000992,1116.5658753297237,4454.6207968901845
2.2,-0.49574399999999996,-10.8,0.00432,1624.2010457075392,2917.105751391465
2.3,-0.466208,-8.84,0.003536,1360.9215693838973,3008.3471162378
2.4,-0.445536,-6.44,0.002576,750.5907029478457,3819.067346938776
2.5,-0.430816,-8.04,0.0032159999999999997,653.2503510204082,2960.358530612245
2.6,-0.40278400000000003,3.08,0.001232,981.0225818137906,2117.3130298273154
2.7,-0.389312,7.96,0.003184,863.9793958735755,1991.3221466364325
2.8,-0.3784,-5.84,0.002336,794.3565181174513,2403.722448979592
2.9,-0.361664,-1.92,0.000768,792.9110631172803,2155.493877551021
3.0,-0.345536,-9.8,0.00392,704.1422222222222,2258.8979591836733
3.1,-0.344,-2.32,0.0009279999999999999,609.9768523434346,2389.6437129690585
3.2,-0.328256,-21.12,0.008448,676.234693877551,1939.9571428571426
3.3,-0.317952,-18.0,0.0072,377.2666929030565,1413.778602350031
3.4,-0.293184,-12.76,0.005104,391.07746628062995,1309.0943577430971
3.5,-0.293056,-11.6,0.00464,438.71640149937525,1053.7142857142856
3.6,-0.285184,-4.0,0.0016,467.70269589317206,1055.6009070294785
3.7,-0.277248,3.8,0.0015199999999999999,430.5739031916638,1217.573083287369
3.8,-0.27744,3.64,0.001456,412.55017242354006,1087.6773361976368
3.9,-0.25952,4.44,0.0017760000000000002,358.6040333293081,943.685609628467
4.0,-0.248096,-6.44,0.002576,390.79224489795916,1104.3791836734695
4.1,-0.2512,8.0,0.0032,276.72546710534306,1321.413638626182
4.2,-0.24624000000000001,-1.84,0.000736,321.9862094497663,979.8965986394558
4.3,-0.24019200000000002,-2.84,0.0011359999999999999,289.32625467710074,1143.0504034171809
4.4,-0.23276799999999997,-14.44,0.005776,206.92325855962216,842.7194805194805
4.5,-0.22617600000000002,-0.84,0.000336,274.11672461577217,875.1415873015873
4.6,-0.21881599999999998,-3.12,0.001248,246.30407777477723,797.4857142857144
4.7,-0.209984,-2.84,0.0011359999999999999,324.8620393381436,497.7886235345201
4.8,-0.21526399999999998,8.76,0.0035039999999999997,293.0048185941043,1056.3908163265305
4.9,-0.21049600000000002,2.8,0.00112,213.87442307201925,606.9804248229904
5.0,-0.207616,3.44,0.001376,217.40564897959183,755.9849795918368
