0.0	-5000.0	1.0	-2500.0	-1.0
0.001	-5000.0	1.0	-2500.0	-1.0
0.002	-5000.0	1.0	-2500.0	-1.0
0.003	-5000.0	1.0	-2500.0	-1.0
0.004	-5000.0	1.0	-2500.0	-1.0
0.005	-5000.0	1.0	-2500.0	-1.0
0.006	-5000.0	1.0	-2500.0	-1.0
0.007	-5000.0	1.0	-2500.0	-1.0
0.008	-5000.0	1.0	-2500.0	-1.0
0.009	-5000.0	1.0	-2500.0	-1.0
0.01	-5000.0	1.0	-2500.0	-1.0
0.011	-5000.0	1.0	-2500.0	-1.0
0.012	-5000.0	1.0	-2500.0	-1.0
0.013	-5000.0	1.0	-2500.0	-1.0
0.014	-5000.0	1.0	-2500.0	-1.0
0.015	-5000.0	1.0	-2500.0	-1.0
0.016	-5000.0	1.0	-2500.0	-1.0
0.017	-5000.0	1.0	-2500.0	-1.0
0.018	-5000.0	1.0	-2500.0	-1.0
0.019	-5000.0	1.0	-2500.0	-1.0
0.02	-5000.0	1.0	-2500.0	-1.0
0.021	-5000.0	1.0	-2500.0	-1.0
0.022	-5000.0	1.0	-2500.0	-1.0
0.023	-5000.0	1.0	-2500.0	-1.0
0.024	-5000.0	1.0	-2500.0	-1.0
0.025	-5000.0	1.0	-2500.0	-1.0
0.026	-5000.0	1.0	-2500.0	-1.0
0.027	-5000.0	1.0	-2500.0	-1.0
0.028	-5000.0	1.0	-2500.0	-1.0
0.029	-5000.0	1.0	-2500.0	-1.0
0.03	-5000.0	1.0	-2500.0	-1.0
0.031	-5000.0	1.0	-2500.0	-1.0
0.032	-5000.0	1.0	-2500.0	-1.0
0.033	-5000.0	1.0	-2500.0	-1.0
0.034	-5000.0	1.0	-2500.0	-1.0
0.035	-5000.0	1.0	-2500.0	-1.0
0.036	-5000.0	1.0	-2500.0	-1.0
0.037	-5000.0	1.0	-2500.0	-1.0
0.038	-5000.0	1.0	-2500.0	-1.0
0.039	-5000.0	1.0	-2500.0	-1.0
0.04	-5000.0	1.0	-2500.0	-1.0
0.041	-5000.0	1.0	-2500.0	-1.0
0.042	-5000.0	1.0	-2500.0	-1.0
0.043	-5000.0	1.0	-2500.0	-1.0
0.044	-5000.0	1.0	-2500.0	-1.0
0.045	-5000.0	1.0	-2500.0	-1.0
0.046	-5000.0	1.0	-2500.0	-1.0
0.047	-5000.0	1.0	-2500.0	-1.0
0.048	-5000.0	1.0	-2500.0	-1.0
0.049	-5000.0	1.0	-2500.0	-1.0
0.05	-5000.0	1.0	-2500.0	-1.0
0.051	-5000.0	1.0	-2500.0	-1.0
0.052	-5000.0	1.0	-2500.0	-1.0
0.053	-5000.0	1.0	-2500.0	-1.0
0.054	-5000.0	1.0	-2500.0	-1.0
0.055	-5000.0	1.0	-2500.0	-1.0
0.056	-5000.0	1.0	-2500.0	-1.0
0.057	-5000.0	1.0	-2500.0	-1.0
0.058	-5000.0	1.0	-2500.0	-1.0
0.059	-5000.0	1.0	-2500.0	-1.0
0.06	-5000.0	1.0	-2500.0	-1.0
0.061	-5000.0	1.0	-2500.0	-1.0
0.062	-5000.0	1.0	-2500.0	-1.0
0.063	-5000.0	1.0	-2500.0	-1.0
0.064	-5000.0	1.0	-2500.0	-1.0
0.065	-5000.0	1.0	-2500.0	-1.0
0.066	-5000.0	1.0	-2500.0	-1.0
0.067	-5000.0	1.0	-2500.0	-1.0
0.068	-5000.0	1.0	-2500.0	-1.0
0.069	-5000.0	1.0	-2500.0	-1.0
0.07	-5000.0	1.0	-2500.0	-1.0
0.071	-5000.0	1.0	-2500.0	-1.0
0.072	-5000.0	1.0	-2500.0	-1.0
0.073	-5000.0	1.0	-2500.0	-1.0
0.074	-5000.0	1.0	-2500.0	-1.0
0.075	-5000.0	1.0	-2500.0	-1.0
0.076	-5000.0	1.0	-2500.0	-1.0
0.077	-5000.0	1.0	-2500.0	-1.0
0.078	-5000.0	1.0	-2500.0	-1.0
0.079	-5000.0	1.0	-2500.0	-1.0
0.08	-5000.0	1.0	-2500.0	-1.0
0.081	-5000.0	1.0	-2500.0	-1.0
0.082	-5000.0	1.0	-2500.0	-1.0
0.083	-5000.0	1.0	-2500.0	-1.0
0.084	-5000.0	1.0	-2500.0	-1.0
0.085	-5000.0	1.0	-2500.0	-1.0
0.086	-5000.0	1.0	-2500.0	-1.0
0.087	-5000.0	1.0	-2500.0	-1.0
0.088	-5000.0	1.0	-2500.0	-1.0
0.089	-5000.0	1.0	-2500.0	-1.0
0.09	-5000.0	1.0	-2500.0	-1.0
0.091	-5000.0	1.0	-2500.0	-1.0
0.092	-5000.0	1.0	-2500.0	-1.0
0.093	-5000.0	1.0	-2500.0	-1.0
0.094	-5000.0	1.0	-2500.0	-1.0
0.095	-5000.0	1.0	-2500.0	-1.0
0.096	-5000.0	1.0	-2500.0	-1.0
0.097	-5000.0	1.0	-2500.0	-1.0
0.098	-5000.0	1.0	-2500.0	-1.0
0.099	-5000.0	1.0	-2500.0	-1.0
0.1	-5000.0	1.0	-2500.0	-1.0
0.101	-5000.0	1.0	-2500.0	-1.0
0.102	-5000.0	1.0	-2500.0	-1.0
0.103	-5000.0	1.0	-2500.0	-1.0
0.104	-5000.0	1.0	-2500.0	-1.0
0.105	-5000.0	1.0	-2500.0	-1.0
0.106	-5000.0	1.0	-2500.0	-1.0
0.107	-5000.0	1.0	-2500.0	-1.0
0.108	-5000.0	1.0	-2500.0	-1.0
0.109	-5000.0	1.0	-2500.0	-1.0
0.11	-5000.0	1.0	-2500.0	-1.0
0.111	-5000.0	1.0	-2500.0	-1.0
